% Model,VAM_UC_-_dispersivity_0-07m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:57"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
1078000,2.0460168630946074E-5
1079000,2.0387650607789655E-5
1080000,2.031513258463324E-5
1081000,2.0242614561476812E-5
1082000,2.0170096538320396E-5
1083000,2.0097578515163973E-5
1084000,2.0025060492007557E-5
1085000,1.995254246885113E-5
1086000,1.9880024445694715E-5
1087000,1.980750642253829E-5
1088000,1.9734988399381873E-5
1089000,1.9662470376225453E-5
1090000,1.9589952353069034E-5
1091000,1.951743432991261E-5
1092000,1.944491630675619E-5
1093000,1.9372398283599772E-5
1094000,1.929988026044335E-5
1095000,1.922736223728693E-5
1096000,1.915484421413051E-5
1097000,1.908232619097409E-5
1098000,1.9009808167817668E-5
1099000,1.8937290144661252E-5
1100000,1.8864772121504826E-5
1101000,1.879225409834841E-5
1102000,1.8719736075191984E-5
1103000,1.8647218052035568E-5
1104000,1.8574700028879145E-5
1105000,1.850218200572273E-5
1106000,1.8429663982566306E-5
1107000,1.8357145959409886E-5
1108000,1.828462793625347E-5
1109000,1.8212109913097044E-5
1110000,1.8139591889940628E-5
1111000,1.8067073866784205E-5
1112000,1.7994555843627786E-5
1113000,1.7922037820471363E-5
1114000,1.7849519797314947E-5
1115000,1.7777001774158524E-5
1116000,1.7704483751002105E-5
1117000,1.7631965727845685E-5
1118000,1.7559447704689262E-5
1119000,1.7486929681532843E-5
1120000,1.7414411658376423E-5
1121000,1.734189363522E-5
1122000,1.726937561206358E-5
1123000,1.719685758890716E-5
1124000,1.712433956575074E-5
1125000,1.705182154259432E-5
1126000,1.69793035194379E-5
1127000,1.690678549628148E-5
1128000,1.683426747312506E-5
1129000,1.6761749449968638E-5
1130000,1.668923142681222E-5
1131000,1.66167134036558E-5
1132000,1.654419538049938E-5
1133000,1.6471677357342957E-5
1134000,1.6399159334186538E-5
1135000,1.6326641311030118E-5
1136000,1.62541232878737E-5
1137000,1.618160526471728E-5
1138000,1.6109087241560856E-5
1139000,1.6036569218404437E-5
1140000,1.5964051195248017E-5
1141000,1.5891533172091598E-5
1142000,1.581901514893518E-5
1143000,1.5746497125778756E-5
1144000,1.5673979102622336E-5
1145000,1.5601461079465913E-5
1146000,1.5528943056309494E-5
1147000,1.5456425033153075E-5
1148000,1.5383907009996652E-5
1149000,1.5311388986840232E-5
1150000,1.5238870963683813E-5
1151000,1.5166352940527392E-5
1152000,1.509383491737097E-5
1153000,1.5021316894214553E-5
1154000,1.4948798871058132E-5
1155000,1.487628084790171E-5
1156000,1.4803762824745291E-5
1157000,1.473124480158887E-5
1158000,1.465872677843245E-5
1159000,1.4586208755276031E-5
1160000,1.451369073211961E-5
1161000,1.4441172708963189E-5
1162000,1.436865468580677E-5
1163000,1.4296136662650348E-5
1164000,1.4223618639493927E-5
1165000,1.4151100616337508E-5
1166000,1.4078582593181086E-5
1167000,1.4006064570024669E-5
1168000,1.3933546546868247E-5
1169000,1.3861028523711826E-5
1170000,1.3788510500555407E-5
1171000,1.3715992477398987E-5
1172000,1.3643474454242566E-5
1173000,1.3570956431086147E-5
1174000,1.3498438407929726E-5
1175000,1.3425920384773305E-5
1176000,1.3353402361616885E-5
1177000,1.3280884338460464E-5
1178000,1.3208366315304043E-5
1179000,1.3135848292147623E-5
1180000,1.3063330268991204E-5
1181000,1.2990812245834783E-5
1182000,1.2918294222678363E-5
1183000,1.2845776199521942E-5
1184000,1.2773258176365521E-5
1185000,1.2700740153209102E-5
1186000,1.2628222130052682E-5
1187000,1.2555704106896261E-5
1188000,1.2483186083739842E-5
1189000,1.241066806058342E-5
1190000,1.2338150037427E-5
1191000,1.226563201427058E-5
1192000,1.2193113991114159E-5
1193000,1.2120595967957741E-5
1194000,1.204807794480132E-5
1195000,1.1975559921644899E-5
1196000,1.1903041898488477E-5
1197000,1.1830523875332058E-5
1198000,1.1758005852175637E-5
